CMDB	構成管理データベース。構成情報を一元管理する台帳。　用例：『サービス改善のためCMDBを見直す』	サービス
CRL	CRLはCertificate Revocation List（サーティフィケート・リボケーション・リスト：証明書失効リスト）の略。 証明書失効リスト。無効になった証明書の一覧。　用例：『証明書が失効していないかCRLを参照する』	暗号
CSIRT	CSIRTはComputer Security Incident Response Team（コンピュータ・セキュリティ・インシデント・レスポンス・チーム：インシデント対応チーム）の略。 インシデント対応チーム。社内外連絡、初動、再発防止などを担う。　用例：『インシデント対応でCSIRTを実施する』	インシデント
CSP	CSPはContent Security Policy（コンテント・セキュリティ・ポリシー：Webの読み込み制御ポリシー）の略。 Content Security Policy。許可する読み込み元を制限しXSS影響を減らす。　用例：『脆弱性対応でCSPを確認し優先度を決める』	脆弱性
CSRF	CSRFはCross-Site Request Forgery（クロスサイト・リクエスト・フォージェリ：クロスサイトリクエストフォージェリ）の略。 利用者がログイン中であることを悪用し意図しない操作を実行させる攻撃。　用例：『CSRFへの対策を検討する』	攻撃
CVE	CVEはCommon Vulnerabilities and Exposures（コモン・バルネラビリティーズ・アンド・エクスポージャーズ：脆弱性識別子）の略。 脆弱性に付けられる識別番号。　用例：『CVE番号を確認して影響範囲を特定する』	脆弱性
CVSS v3	CVSSはCommon Vulnerability Scoring System（コモン・バルネラビリティ・スコアリング・システム：脆弱性深刻度の指標）の略。 脆弱性の危険度を点数化する尺度（0.0〜10.0）。　用例：『脆弱性対応でCVSS v3を確認し優先度を決める』	脆弱性
CVSSベーススコア	CVSSの基本値。攻撃のしやすさと影響を反映する点数。　用例：『脆弱性対応でCVSSベーススコアを確認し優先度を決める』	脆弱性
CWE	CWEはCommon Weakness Enumeration（コモン・ウィークネス・エニュメレーション：弱点の分類）の略。 弱点の種類の分類（設計・実装の欠陥のカテゴリ）。　用例：『CWEを確認して対応の優先度を決める』	脆弱性
DAST	DASTはDynamic Application Security Testing（ダイナミック・アプリケーション・セキュリティ・テスティング：動的解析）の略。 実行中のWebアプリに対し外部から診断する手法（動的解析）。　用例：『脆弱性対応でDASTを確認し優先度を決める』	脆弱性
DDoS攻撃	多数端末から分散してDoSを行う攻撃。　用例：『DDoS攻撃への対策を検討する』	攻撃
DHCP	DHCPはDynamic Host Configuration Protocol（ダイナミック・ホスト・コンフィギュレーション・プロトコル：IP設定を自動配布）の略。 端末にIPアドレス等の設定を自動配布する仕組み。　用例：『ネットワーク運用でDHCPを確認する』	ネットワーク
DKIM	メールに電子署名を付け、改ざんや送信ドメインの真正性を確認する仕組み。　用例：『メールのなりすまし対策としてDKIMを設定する』	メール
DLP	DLPはData Loss Prevention（データ・ロス・プリベンション：情報漏えい防止）の略。 機密データの持出し/漏えいを検知・制御する仕組み。　用例：『DLPを実施して被害を減らす』	対策
DMARC	SPF/DKIM結果を用いて、なりすましメールの扱い方（拒否等）を決める仕組み。　用例：『DMARCでSPF/DKIMの結果に基づく扱い方針を設定する』	メール
DMZ	DMZはDeMilitarized Zone（外部公開用の中間ネットワーク）の略。 外部公開サーバを置く隔離ネットワーク。社内LANと分離する。　用例：『ネットワーク運用でDMZを確認する』	ネットワーク
DNS	DNSはDomain Name System（ドメイン・ネーム・システム：名前解決の仕組み）の略。 ドメイン名とIPアドレスを対応づける仕組み（名前解決）。　用例：『ネットワーク運用でDNSを確認する』	ネットワーク
DNSSEC	DNSSECはDNS Security Extensions（ディーエヌエス・セキュリティ・エクステンションズ：DNSの改ざん検知の拡張）の略。 DNS応答に署名を付け真正性を検証する仕組み。キャッシュポイズニング対策。　用例：『ネットワーク運用でDNSSECを確認する』	ネットワーク
DNSキャッシュポイズニング	DNSキャッシュに偽情報を混ぜ、偽サイトへ誘導する攻撃。　用例：『DNSキャッシュポイズニングへの対策を検討する』	攻撃
DNSリゾルバ	DNS問い合わせを代行し、結果を返すサーバ（再帰DNSなど）。　用例：『ネットワーク運用でDNSリゾルバを確認する』	ネットワーク
DR（災害復旧）	DRはDisaster Recovery（ディザスター・リカバリー：災害復旧）の略。 Disaster Recovery。災害時にITを復旧させる仕組みと手順。　用例：『DR（災害復旧）に基づいて非常時の手順を整備する』	BCP
DoS攻撃	大量アクセス等でサービスを使えなくする攻撃。　用例：『DoS攻撃への対策を検討する』	攻撃
EDR	EDRはEndpoint Detection and Response（エンドポイント・ディテクション・アンド・レスポンス：端末の検知と対応）の略。 端末の挙動を監視し侵害を検知・封じ込める仕組み。　用例：『監視でEDRを指標として見る』	監視
FIDO2	公開鍵暗号でパスワード依存を減らす認証の仕組み（WebAuthn/CTAP）。　用例：『FIDO2でアクセス権限を制御する』	認証
HMAC	秘密鍵付きハッシュ。改ざん防止と真正性確認に使う。　用例：『HMACに関する設定や仕組みを確認する』	暗号
HTTPS	HTTPSはHTTP Secure（TLSで保護されたHTTP）の略。 HTTPをTLSで保護した暗号化Web通信。　用例：『HTTPSに関する設定や仕組みを確認する』	暗号
HttpOnly属性	JavaScriptからCookie参照を禁止し窃取を抑える設定。　用例：『脆弱性対応でHttpOnly属性を確認し優先度を決める』	脆弱性
IAM	クラウド等でIDと権限を管理する仕組み。　用例：『クラウド環境でIAMを設定・確認する』	クラウド
IDS	IDSはIntrusion Detection System（イントルージョン・ディテクション・システム：侵入検知システム）の略。 侵入の兆候を検知する仕組み（検知が中心）。　用例：『監視でIDSを指標として見る』	監視
ID管理	アカウントの発行・変更・削除を適切に行うこと（入社/異動/退職対応など）。　用例：『ID管理でアクセス権限を制御する』	認証
IPS	IPSはIntrusion Prevention System（イントルージョン・プリベンション・システム：侵入防止システム）の略。 侵入を検知し、遮断など防御も行う仕組み。　用例：『監視でIPSを指標として見る』	監視
IPsec	IPsecはIP Security（アイピー・セキュリティ：IP層での暗号化/認証）の略。 IP層で通信を暗号化/認証する仕組み（VPNで利用）。　用例：『IPsecに関する設定や仕組みを確認する』	暗号
IPアドレス	ネットワーク上の住所。IPv4/IPv6がある。　用例：『ネットワーク運用でIPアドレスを確認する』	ネットワーク
ISMS	ISMSはInformation Security Management System（インフォメーション・セキュリティ・マネジメント・システム：情報セキュリティマネジメントシステム）の略。 Information Security Management System。情報セキュリティを組織的に管理・改善する仕組み。　用例：『ISMSをルールに沿って管理する』	管理
ISO/IEC 27001	ISMSの要求事項（認証規格）。組織の仕組みとして満たすべき条件を定める。　用例：『ISO/IEC 27001をルールに沿って管理する』	管理
ISO/IEC 27002	情報セキュリティ管理策（対策例）のガイド。27001を実現するための実務寄り。　用例：『ISO/IEC 27002をルールに沿って管理する』	管理
IaaS	IaaSはInfrastructure as a Service（アイアース：インフラストラクチャ・アズ・ア・サービス）の略。サーバ、ネットワーク、ストレージなどの“基盤（インフラ）”だけをクラウドで借りる形。利用者はOSのインストール/更新、ミドルウェア（Webサーバ等）の設定、アプリの配置、セキュリティ設定、バックアップ運用などを自分で行う。自由度が高い反面、運用負担も大きい。　用例：『クラウド環境でIaaSを設定・確認する』	クラウド
J-SOX	金融商品取引法に基づく内部統制報告制度（上場企業等で重要）。　用例：『監査でJ-SOXに関する証跡を提示する』	監査
JIS Q 31000:2019	組織でリスクを継続的に管理するための考え方と進め方の指針（リスクマネジメントのガイド）。　用例：『リスク評価でJIS Q 31000:2019を整理する』	リスク
MDM	MDMはMobile Device Management（モバイル・デバイス・マネジメント：端末管理）の略。 スマホ等を管理し、紛失時のワイプ等を行う仕組み。　用例：『日々の運用でMDMを確認する』	運用
MITM（中間者攻撃）	MITMはMan-in-the-Middle（マン・イン・ザ・ミドル：中間者攻撃）の略。 通信の途中に割り込み盗聴・改ざんする攻撃。　用例：『MITM（中間者攻撃）への対策を検討する』	攻撃
MTBF	MTBFはMean Time Between Failures（ミーン・タイム・ビトウィーン・フェイリャーズ：平均故障間隔）の略。 平均故障間隔。長いほど壊れにくい。　用例：『品質管理でMTBFを確認する』	品質
MTTD	MTTDはMean Time To Detect（ミーン・タイム・トゥ・ディテクト：平均検知時間）の略。 平均検知時間。短いほど早く気づける。　用例：『MTTDを短縮するため監視通知の条件を見直す』	品質
MTTR	MTTRはMean Time To Repair/Recover（平均修復/復旧時間）の略。 平均復旧時間。短いほど早く戻る。　用例：『MTTRを短縮するため手順と自動化を整備する』	品質
NAT	NATはNetwork Address Translation（ネットワーク・アドレス・トランスレーション：アドレス変換）の略。 社内の私的IPを外部通信時に変換する仕組み。　用例：『ネットワーク運用でNATを確認する』	ネットワーク
NDA	秘密保持契約。業務で知った秘密情報を漏らさない契約。　用例：『NDAに準拠して手順を整備する』	法務
OAuth 2.0	OAuthはOpen Authorization（オーソライゼーション：認可の仕組み）の略。 他サービスに権限を委任する仕組み（ログインそのものではない）。　用例：『OAuth 2.0でアクセス権限を制御する』	認証
OCSP	OCSPはOnline Certificate Status Protocol（オンライン・サーティフィケート・ステータス・プロトコル：証明書状態確認プロトコル）の略。 証明書が有効かをオンラインで問い合わせる仕組み。　用例：『証明書が失効していないかOCSPで確認する』	暗号
OTP	OTPはOne-Time Password（ワンタイム・パスワード：ワンタイムパスワード）の略。 一度だけ使えるパスワード。盗まれても再利用しにくい。　用例：『OTPでアクセス権限を制御する』	認証
OWASP Top 10	OWASPはOpen Worldwide Application Security Project（Webセキュリティ団体/資料）の略。 Webアプリの代表的なリスクをまとめたリスト。　用例：『脆弱性対応でOWASP Top 10を確認し優先度を決める』	脆弱性
OpenID Connect	OAuth 2.0の上で本人確認（ログイン）も扱えるようにした規格。　用例：『OpenID Connectでアクセス権限を制御する』	認証
OpenPGP	PGP系のメール暗号化/署名の標準。　用例：『OpenPGPに関する設定や仕組みを確認する』	暗号
PAM	PAMはPrivileged Access Management（プリビレッジド・アクセス・マネジメント：特権アクセス管理）の略。 Privileged Access Management。特権IDを安全に管理・監査する仕組み。　用例：『PAMでアクセス権限を制御する』	認証
PDCA	PDCAはPlan / Do / Check / Actの頭文字（手順の各段階を表す）。 Plan→Do→Check→Actで、計画・実行・点検・改善を繰り返す管理サイクル。　用例：『PDCAをルールに沿って管理する』	管理
PKI	PKIはPublic Key Infrastructure（パブリック・キー・インフラストラクチャ：公開鍵基盤）の略。 公開鍵と証明書で本人性を担保する基盤（CAが証明書発行）。　用例：『PKIに関する設定や仕組みを確認する』	暗号
PaaS	PaaSはPlatform as a Service（パース：プラットフォーム・アズ・ア・サービス）の略。アプリを動かすための“土台（OS＋実行環境＋運用機能）”までをまとめて借りる形。利用者は主に「アプリのコード」と「設定」を用意して配置するだけで、OSや実行環境の更新、スケール（負荷に応じた増強）、監視などはサービス側が面倒を見る。サーバ運用に時間を取られにくく、開発に集中しやすい。　用例：『クラウド環境でPaaSを設定・確認する』	クラウド
RACI	役割分担表。Responsible/Accountable/Consulted/Informedの区分で責任を整理する。　用例：『PJでRACIを使って進捗や成果物を整理する』	PJ
RASIS	信頼性・可用性・保守性・完全性・安全性など、システムを安心して使えるかを見る品質観点のセット。　用例：『品質管理でRASISを確認する』	品質
RBAC	RBACはRole-Based Access Control（ロール・ベースド・アクセス・コントロール：役割ベースアクセス制御）の略。 役割（ロール）に権限を割り当てるアクセス制御方式。　用例：『RBACでアクセス権限を制御する』	認証
RPO	RPOはRecovery Point Objective（リカバリー・ポイント・オブジェクティブ：目標復旧時点）の略。 目標復旧時点（どこまでのデータ損失を許すか）。　用例：『RPOに合わせてバックアップ間隔を設計する』	BCP
RTO	RTOはRecovery Time Objective（リカバリー・タイム・オブジェクティブ：目標復旧時間）の略。 目標復旧時間（いつまでに復旧すべきか）。　用例：『RTOを満たせる復旧手順になっているか訓練で確認する』	BCP
S/MIME	メール本文や添付を暗号化/署名する仕組み（証明書を使用）。　用例：『S/MIMEに関する設定や仕組みを確認する』	暗号
SAML	SAMLはSecurity Assertion Markup Language（セキュリティ・アサーション・マークアップ・ランゲージ：認証/属性の連携方式）の略。 SSOで使われる認証連携の標準（企業向けで多い）。　用例：『SAMLでアクセス権限を制御する』	認証
SAST	SASTはStatic Application Security Testing（スタティック・アプリケーション・セキュリティ・テスティング：静的解析）の略。 ソースコード解析で脆弱性を見つける手法（静的解析）。　用例：『脆弱性対応でSASTを確認し優先度を決める』	脆弱性
SIEM	SIEMはSecurity Information and Event Management（セキュリティ・インフォメーション・アンド・イベント・マネジメント：セキュリティ情報・イベント管理）の略。 複数機器のログを集約し、相関分析で不審を検知・可視化する基盤。　用例：『監視でSIEMを指標として見る』	監視
SIEMの相関分析	複数ログをつなげて攻撃の流れを推定する分析。　用例：『監視でSIEMの相関分析を指標として見る』	監視
SLA	SLAはService Level Agreement（サービス・レベル・アグリーメント：サービスレベル合意）の略。 Service Level Agreement。稼働率や復旧時間など、サービス品質の合意（契約）。　用例：『SLAを改善するため手順と監視を見直す』	サービス
SLI	SLIはService Level Indicator（サービス・レベル・インディケーター：サービスレベル指標）の略。 SLOを測る指標（成功率、応答時間など）。　用例：『SLIを改善するため手順と監視を見直す』	サービス
SLO	SLOはService Level Objective（サービス・レベル・オブジェクティブ：サービスレベル目標）の略。 SLAを実現するための目標値。　用例：『SLOを改善するため手順と監視を見直す』	サービス
SOAR	対応手順の自動化/連携を行う仕組み（オーケストレーション）。　用例：『監視でSOARを指標として見る』	監視
SOC	SOCはSecurity Operation Center（セキュリティ・オペレーション・センター：セキュリティ監視/運用組織）の略。 セキュリティ監視・分析・初動対応を行う組織。　用例：『監視でSOCを指標として見る』	監視
SPF	送信元ドメインが許可した送信サーバかをDNSで確認する仕組み。なりすまし対策。　用例：『送信ドメイン認証としてSPFレコードを設定する』	メール
SPOF	Single Point Of Failure。壊れると全体が止まる単一点。冗長化でなくす。　用例：『可用性を高めるためSPOFを見直す』	可用性
SQLインジェクション	SQL文に不正入力を混ぜ、情報漏えいや改ざんを行う攻撃。　用例：『SQLインジェクションへの対策を検討する』	攻撃
SSH	安全にリモート操作するための暗号化通信。　用例：『SSHに関する設定や仕組みを確認する』	暗号
SSO	SSOはSingle Sign-On（シングル・サインオン：シングルサインオン）の略。 一度の認証で複数サービスにログインできる仕組み。　用例：『SSOでアクセス権限を制御する』	認証
SSRF	SSRFはServer-Side Request Forgery（サーバーサイド・リクエスト・フォージェリ：サーバ側リクエスト偽装）の略。 サーバに代わり内部宛通信をさせる攻撃（内部情報取得など）。　用例：『SSRFへの対策を検討する』	攻撃
SaaS	SaaSはSoftware as a Service（サース：ソフトウェア・アズ・ア・サービス）の略。アプリ（ソフトウェア）そのものをサービスとして使う形。利用者は基本的に設定と利用（アカウント管理・権限設定・データ入力など）を行い、サーバ運用やアップデートはサービス側が実施する。最も手軽だが、機能や仕様の自由度は低め。例：メール、Web会議、グループウェア、オンラインストレージ、勤怠など。　用例：『クラウド環境でSaaSを設定・確認する』	クラウド
SaaS責任（利用者側）	SaaSはSoftware as a Service（サース：ソフトウェア・アズ・ア・サービス）の略。SaaSでも、利用者はID管理・データ分類・権限・設定ミス防止などの責任を負う。　用例：『クラウド環境でSaaS責任（利用者側）を設定・確認する』	クラウド
SameSite属性	Cookie送信条件を制御しCSRFを抑止する設定。　用例：『脆弱性対応でSameSite属性を確認し優先度を決める』	脆弱性
Secure属性（Cookie）	CookieをHTTPS通信に限定する設定。　用例：『脆弱性対応でSecure属性（Cookie）を確認し優先度を決める』	脆弱性
TCP/IP	インターネットの基本通信方式の総称。TCPは信頼性、IPは配送を担う。　用例：『ネットワーク運用でTCP/IPを確認する』	ネットワーク
TLS	TLSはTransport Layer Security（トランスポート・レイヤー・セキュリティ：通信の暗号化プロトコル）の略。 通信を暗号化し盗聴・改ざんを防ぐ仕組み（HTTPSで利用）。　用例：『TLSに関する設定や仕組みを確認する』	暗号
TOTP	TOTPはTime-based One-Time Password（ワンタイム・パスワード：時間ベースのワンタイムパスワード）の略。 時間を基に生成するOTP（認証アプリ等）。　用例：『TOTPでアクセス権限を制御する』	認証
TTL	DNSなどのキャッシュ有効期限（Time To Live）。　用例：『ネットワーク運用でTTLを確認する』	ネットワーク
VLAN	同じ物理ネットワークを論理的に分割する仕組み。　用例：『ネットワーク運用でVLANを確認する』	ネットワーク
VPN	VPNはVirtual Private Network（バーチャル・プライベート・ネットワーク：仮想専用網）の略。 公衆網上に暗号化トンネルを作り、安全に接続する仕組み。　用例：『ネットワーク運用でVPNを確認する』	ネットワーク
WAF	WAFはWeb Application Firewall（ウェブ・アプリケーション・ファイアウォール：Webアプリ防御のファイアウォール）の略。 Webアプリへの攻撃（SQLi/XSS等）を検知・遮断する仕組み。　用例：『監視でWAFを指標として見る』	監視
WBS辞書	WBSの作業内容・前提・担当などを補足する文書。　用例：『PJでWBS辞書を使って進捗や成果物を整理する』	PJ
WORM	Write Once Read Many。一度書いたら消せない媒体/保管（証跡保全に有効）。　用例：『日々の運用でWORMを確認する』	運用
WPA2	Wi‑Fiの暗号化方式の一つ（WEPより安全）。　用例：『ネットワーク運用でWPA2を確認する』	ネットワーク
WPA3	Wi‑Fiの新しい暗号化方式（より強固）。　用例：『ネットワーク運用でWPA3を確認する』	ネットワーク
XDR	XDRはExtended Detection and Response（エクステンデッド・ディテクション・アンド・レスポンス：複数領域を横断する検知と対応）の略。 複数領域を横断して検知・分析する仕組み。　用例：『監視でXDRを指標として見る』	監視
XSS	XSSはCross-Site Scripting（クロスサイト・スクリプティング：サイト間スクリプティング）の略。 Webページに悪意のスクリプトを混入させ利用者側で実行させる攻撃。　用例：『XSSへの対策を検討する』	攻撃
ZTNA	社外から社内アプリへ、都度検証しながら安全に接続する仕組み（ゼロトラストの要素）。　用例：『設計時にZTNAを考慮する』	設計
アカウント	システムを利用するための利用者識別情報。　用例：『アカウントでアクセス権限を制御する』	認証
アカウントロック	失敗が続いたらログインを停止し総当たり攻撃を抑止する仕組み。　用例：『アカウントロックでアクセス権限を制御する』	認証
アクセスログ	誰がどの資源にいつアクセスしたかの記録。　用例：『日々の運用でアクセスログを確認する』	運用
イミュータブルバックアップ	一定期間変更・削除できないバックアップ。ランサム対策に有効。　用例：『イミュータブルバックアップに基づいて非常時の手順を整備する』	BCP
インシデント	事故・攻撃・不正など、望ましくない出来事（セキュリティ事象）。　用例：『インシデント対応でインシデントを実施する』	インシデント
インシデント管理（ITIL）	障害等を早期復旧し影響を最小化する運用。　用例：『サービス改善のためインシデント管理（ITIL）を見直す』	サービス
ウイルス	他のプログラムに寄生して増えるマルウェア。　用例：『ウイルスへの対策を検討する』	攻撃
エスカレーション	状況に応じて上位者や専門部署へ連絡・引き継ぐこと。　用例：『インシデント対応でエスカレーションを実施する』	インシデント
エスケープ処理	特別な意味を持つ文字を無害化してXSS等を防ぐ処理。　用例：『脆弱性対応でエスケープ処理を確認し優先度を決める』	脆弱性
オプトアウト	本人が停止請求できる仕組みを用意し停止できる方式（文脈に注意）。　用例：『オプトアウトに準拠して手順を整備する』	法務
オプトイン	事前に同意を得て送付・提供する方式。　用例：『オプトインに準拠して手順を整備する』	法務
キーロガー	キー入力を記録してID/パスワード等を盗む仕組み。　用例：『キーロガーへの対策を検討する』	攻撃
クラウドサービス	インターネット経由で利用するIT機能（SaaS/PaaS/IaaSなど）。　用例：『クラウド環境でクラウドサービスを設定・確認する』	クラウド
クレデンシャルスタッフィング	漏えいしたID/パスワードの使い回しでログインを試す攻撃。　用例：『クレデンシャルスタッフィングへの対策を検討する』	攻撃
コマンドインジェクション	入力値を悪用しOSコマンドを実行させる攻撃。　用例：『コマンドインジェクションへの対策を検討する』	攻撃
サイバーセキュリティ基本法	国のサイバーセキュリティ推進の基本方針等を定める法律。　用例：『サイバーセキュリティ基本法に準拠して手順を整備する』	法務
サイバー保険	サイバー事故の損害を保険でカバーする（リスク移転の例）。　用例：『リスク評価でサイバー保険を整理する』	リスク
サプライチェーン攻撃	取引先やソフト更新経路などを狙って侵入する攻撃。　用例：『サプライチェーン攻撃への対策を検討する』	攻撃
サンドボックス	不審ファイルを隔離環境で動かして安全性を確認する仕組み。　用例：『サンドボックスを実施して被害を減らす』	対策
サービスデスク	利用者の問い合わせ窓口（ITILでの役割）。　用例：『サービス改善のためサービスデスクを見直す』	サービス
システム監査	情報システムが適切に運用されているかを独立の立場で点検・評価すること。　用例：『監査でシステム監査に関する証跡を提示する』	監査
シャドーIT	許可されていないITサービスを業務で使うこと。　用例：『クラウド環境でシャドーITを設定・確認する』	クラウド
スナップショット	ある時点のデータ状態を保存する機能（復元に使う）。　用例：『スナップショットに基づいて非常時の手順を整備する』	BCP
スパイウェア	利用者の情報をこっそり収集するマルウェア。　用例：『スパイウェアへの対策を検討する』	攻撃
スミッシング	SMSを使ったフィッシング。　用例：『スミッシングへの対策を検討する』	攻撃
セキュリティポリシー	組織の情報セキュリティの基本方針や守るルールをまとめた文書（方針・基準・手順など）。　用例：『セキュリティポリシーをルールに沿って管理する』	管理
セキュリティ事象	攻撃の兆候や異常など観測された出来事（インシデントに発展する場合がある）。　用例：『インシデント対応でセキュリティ事象を実施する』	インシデント
セキュリティ教育	ルール周知と、フィッシング等の被害を減らすための継続的な教育。　用例：『セキュリティ教育をルールに沿って管理する』	管理
セグメンテーション	ネットワークを区切って侵害の横展開を防ぐこと。　用例：『ネットワーク運用でセグメンテーションを確認する』	ネットワーク
セッションハイジャック	他人のログイン状態（セッション）を奪って操作する攻撃。　用例：『セッションハイジャックへの対策を検討する』	攻撃
ゼロデイ攻撃	修正パッチが出る前の未知の脆弱性を狙う攻撃。　用例：『ゼロデイ攻撃への対策を検討する』	攻撃
ゼロトラスト	社内外を信頼せず、アクセスのたびに検証して最小権限で許可する考え方。　用例：『設計時にゼロトラストを考慮する』	設計
ゼロトラスト（端末状態）	端末が安全（更新済、暗号化、EDR稼働等）かを見てアクセス可否を判断する考え方。　用例：『設計時にゼロトラスト（端末状態）を考慮する』	設計
ソルト	パスワードハッシュに追加する乱数。辞書攻撃や同一PW特定を防ぐ。　用例：『ソルトに関する設定や仕組みを確認する』	暗号
ソーシャルエンジニアリング	人の心理や手続きを悪用して情報を得る手口（なりすまし等）。　用例：『ソーシャルエンジニアリングへの対策を検討する』	攻撃
チェーン・オブ・カストディ	証拠の取り扱い履歴を記録し改ざん疑いを防ぐ管理。　用例：『インシデント対応でチェーン・オブ・カストディを実施する』	インシデント
チューニング（検知）	誤検知を減らし検知品質を上げるためのルール調整。　用例：『監視でチューニング（検知）を指標として見る』	監視
ディレクトリトラバーサル	パス指定を悪用し本来見せないファイルを読ませる攻撃。　用例：『ディレクトリトラバーサルへの対策を検討する』	攻撃
デジタル証明書	公開鍵と持ち主情報をCAが署名して証明する電子の証明書。　用例：『デジタル証明書に関する設定や仕組みを確認する』	暗号
トロイの木馬	正常ソフトを装って侵入し裏で不正動作するマルウェア。　用例：『トロイの木馬への対策を検討する』	攻撃
ドライブバイダウンロード	閲覧だけでマルウェアを落とされる攻撃。　用例：『ドライブバイダウンロードへの対策を検討する』	攻撃
ハッシュ関数	元に戻せない要約を作る関数。改ざん検知やパスワード保護に使う。　用例：『ハッシュ関数に関する設定や仕組みを確認する』	暗号
ハードウェアEOL	メーカーサポート終了。脆弱性修正が出ずリスクが増える。　用例：『脆弱性対応でハードウェアEOLを確認し優先度を決める』	脆弱性
ハードニング	不要機能停止や設定強化で攻撃面を減らすこと。　用例：『ハードニングを実施して被害を減らす』	対策
バックアップ	障害や攻撃に備えてデータを複製し保管すること。　用例：『バックアップに基づいて非常時の手順を整備する』	BCP
バッファオーバーフロー	領域を超える入力で動作を壊し不正実行につなげる攻撃。　用例：『バッファオーバーフローへの対策を検討する』	攻撃
パスワードスプレー	よくあるパスワードを多くのIDに試す攻撃。　用例：『パスワードスプレーへの対策を検討する』	攻撃
パスワードポリシー	長さ・複雑さ・有効期限等のパスワード運用ルール。　用例：『パスワードポリシーでアクセス権限を制御する』	認証
パスワードリスト攻撃	漏えいしたID/パスワードのリストでログインを試す攻撃（クレデンシャルスタッフィング）。　用例：『パスワードリスト攻撃への対策を検討する』	攻撃
パッチ管理	更新を計画・検証・適用・記録して安全性を保つ運用。　用例：『脆弱性対応でパッチ管理を確認し優先度を決める』	脆弱性
ビッシング	電話（Voice）を使った詐欺・フィッシング。　用例：『ビッシングへの対策を検討する』	攻撃
ファイアウォール	通信の許可/拒否をルールで制御する仕組み。　用例：『ネットワーク運用でファイアウォールを確認する』	ネットワーク
フィッシング	偽サイト等に誘導して認証情報を盗む手口。　用例：『フィッシングへの対策を検討する』	攻撃
フェイルオーバー	主系が故障したときに待機系へ切り替えること（自動/手動）。　用例：『可用性を高めるためフェイルオーバーを見直す』	可用性
フォレンジック	デジタル証拠を収集・分析し事実関係を明らかにする技術/手続。　用例：『インシデント対応でフォレンジックを実施する』	インシデント
ブラックリスト方式	禁止したもの以外は基本許可する方式（漏れがあると危険）。　用例：『ブラックリスト方式を実施して被害を減らす』	対策
ブルートフォース攻撃	パスワードを総当たりで試す攻撃。　用例：『ブルートフォース攻撃への対策を検討する』	攻撃
プレースホルダ	SQLを安全に組み立てSQLインジェクションを防ぐ仕組み。　用例：『脆弱性対応でプレースホルダを確認し優先度を決める』	脆弱性
プロキシ	利用者の代わりにWebアクセスする中継。アクセス制御やログ取得に使う。　用例：『ネットワーク運用でプロキシを確認する』	ネットワーク
